time_h,level_0,level_1,level_2,level_3,level_4,level_5,level_6
0.000000000000000000e+00,3.354626279025118532e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.838263069350499584e-04,1.783016056276594990e-04,3.186736781884088769e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.187491118182885094e-03,4.697621628012771042e-04,1.227381794649397111e-04,2.130141327446764135e-05,2.449553800869302642e-06,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.086069231012700642e-03,1.162672519162401231e-03,3.099699976149883395e-04,6.409254052525631764e-05,1.326990339490537575e-05,1.854389747723257882e-06,1.885340152876603438e-07
4.000000000000000000e+00,1.110899653824230608e-02,2.703294599142468894e-03,7.360224469331507749e-04,1.599029014042324941e-04,3.537767685727237564e-05,6.543862413465447211e-06,1.279485168073274464e-06
5.000000000000000000e+00,2.279418088361234371e-02,5.904538255320460928e-03,1.643242310584322637e-03,3.749344567028315843e-04,8.539622793993416013e-05,1.669738129947668942e-05,3.634030301681076293e-06
6.000000000000000000e+00,4.393693362340741343e-02,1.211532585888072146e-02,3.449518774765417128e-03,8.262539562321125812e-04,1.938919166344596511e-04,3.955089709298342755e-05,8.897568348498689067e-06
7.000000000000000000e+00,7.955950871822768666e-02,2.335290181321202779e-02,6.808765888115240680e-03,1.711355346742259595e-03,4.140927540808818494e-04,8.809147974300869991e-05,2.043025247379811992e-05
8.000000000000000000e+00,1.353352832366127023e-01,4.228664228889966736e-02,1.263680493868099552e-02,3.331537853372831901e-03,8.318733523651429323e-04,1.845002089553882151e-04,4.413727349695104654e-05
9.000000000000000000e+00,2.162651668298873064e-01,7.193200163618414245e-02,2.205314309335477257e-02,6.095886515955013102e-03,1.571964302730230120e-03,3.633800768390746069e-04,8.971679620731934748e-05
1.000000000000000000e+01,3.246524673583497389e-01,1.149470113204637683e-01,3.618867489009290617e-02,1.048398467746697836e-02,2.794201847614123484e-03,6.730426995836308237e-04,1.715874427456361693e-04
1.100000000000000000e+01,4.578333617716142667e-01,1.725559015706429888e-01,5.584029945019656355e-02,1.694818600131758890e-02,4.672031725803856353e-03,1.172350178649168547e-03,3.087789358194139352e-04
1.200000000000000000e+01,6.065306597126334243e-01,2.433428248749990863e-01,8.102122419473567483e-02,2.575357193960041077e-02,7.348345283249237483e-03,1.920530724416135739e-03,5.228379938400709581e-04
1.300000000000000000e+01,7.548396019890073472e-01,3.223768655404262717e-01,1.105422268584080603e-01,3.678572137386185159e-02,1.087205255818720663e-02,2.959035565918214684e-03,8.330111396476137147e-04
1.400000000000000000e+01,8.824969025845953441e-01,4.012044914436672660e-01,1.418200045849024871e-01,4.939225151801559383e-02,1.513121622162144631e-02,4.288050017798899355e-03,1.248836522114687769e-03
1.500000000000000000e+01,9.692332344763441299e-01,4.690555716328464464e-01,1.710910805486538788e-01,6.234280058554033527e-02,1.980971352294906215e-02,5.844747438262761982e-03,1.761726388816197688e-03
1.600000000000000000e+01,1.000000000000000000e+00,5.151567643029482113e-01,1.940875665662131488e-01,7.397277138471870794e-02,2.439641872876500278e-02,7.493473507879979886e-03,2.338602829443285278e-03
1.700000000000000000e+01,9.692332344763441299e-01,5.315095953981359145e-01,2.070368207965036789e-01,8.251362194003032668e-02,2.826302796730954456e-02,9.037058498967734041e-03,2.921236925061979073e-03
1.800000000000000000e+01,8.824969025845953441e-01,5.151567643029482113e-01,2.076707032880752146e-01,8.652817583746229280e-02,3.080044511421228121e-02,1.025208309212562521e-02,3.433813181572093268e-03
1.900000000000000000e+01,7.548396019890073472e-01,4.690555716328464464e-01,1.958745806131411971e-01,8.530556538310089809e-02,3.157488376124427398e-02,1.094088512029409155e-02,3.798337135590150807e-03
2.000000000000000000e+01,6.065306597126334243e-01,4.012044914436672660e-01,1.737211824261686854e-01,7.906689153665800995e-02,3.044903858866787605e-02,1.098403399506557923e-02,3.953892302912861111e-03
2.100000000000000000e+01,4.578333617716142667e-01,3.223768655404262717e-01,1.448755887599826042e-01,6.889992256140904658e-02,2.762185915433030756e-02,1.037417563108103402e-02,3.873274484994822849e-03
2.200000000000000000e+01,3.246524673583497389e-01,2.433428248749990863e-01,1.136058122598807285e-01,5.644929633781690242e-02,2.357110994364982129e-02,9.218077107348055660e-03,3.570767432435207733e-03
2.300000000000000000e+01,2.162651668298873064e-01,1.725559015706429888e-01,8.376512774597162647e-02,4.348331478372672448e-02,1.892148220619641052e-02,7.706091979973546738e-03,3.098007964140039351e-03
2.400000000000000000e+01,1.353352832366127023e-01,1.149470113204637683e-01,5.807338475976108610e-02,3.149337584908889348e-02,1.428822707171185924e-02,6.061032505140733981e-03,2.529583697059537006e-03
2.500000000000000000e+01,7.955950871822768666e-02,7.193200163618414245e-02,3.785605966004066542e-02,2.144647483365921814e-02,1.014961509114409299e-02,4.485267986885733971e-03,1.943878200385845299e-03
2.600000000000000000e+01,4.393693362340741343e-02,4.228664228889966736e-02,2.320228198784990425e-02,1.373219237744082062e-02,6.782170472870598273e-03,3.122982956787120727e-03,1.405887021038588168e-03
2.700000000000000000e+01,2.279418088361234371e-02,2.335290181321202779e-02,1.337073085754095399e-02,8.267565633552515295e-03,4.263197734224487452e-03,2.045971595071618444e-03,9.569759482117646317e-04
