time_h,level_0,level_1,level_2,level_3,level_4,level_5,level_6
0.000000000000000000e+00,3.354626279025118532e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,8.838263069350499584e-04,7.790727318676437293e-05,2.653621261137995637e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,2.187491118182885094e-03,2.823540654046880817e-04,9.858580664084014755e-05,1.529948732130961793e-06,1.167913209448272548e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,5.086069231012700642e-03,7.874321138324237579e-04,2.793398284585819858e-04,7.081307256364897060e-06,5.520623464744441922e-07,1.453895631197531797e-09,6.608351610679255202e-11
4.000000000000000000e+00,1.110899653824230608e-02,1.960409809856812884e-03,7.031379706587434324e-04,2.257456884523931242e-05,1.787741302051771875e-06,8.173369966802550656e-09,3.779582406941125566e-10
5.000000000000000000e+00,2.279418088361234371e-02,4.519923436786484061e-03,1.635276526893729345e-03,6.116684831634950248e-05,4.902031403384343234e-06,2.957045837022270229e-08,1.386651227356543827e-09
6.000000000000000000e+00,4.393693362340741343e-02,9.766522907448995858e-03,3.561297888133629300e-03,1.501814189753635897e-04,1.215183928624941209e-05,8.749639147939508530e-08,4.149811211893258406e-09
7.000000000000000000e+00,7.955950871822768666e-02,1.986862742843011065e-02,7.302180122685448735e-03,3.425925014286983834e-04,2.795387407773052867e-05,2.296189983897863832e-07,1.099397610616212469e-08
8.000000000000000000e+00,1.353352832366127023e-01,3.813842826968237565e-02,1.413477174383104273e-02,7.341712603146046583e-04,6.038198987670208767e-05,5.536229335924465562e-07,2.672684345438702411e-08
9.000000000000000000e+00,2.162651668298873064e-01,6.917119020125178652e-02,2.587396605602451660e-02,1.486117136715937523e-03,1.232080986694569671e-04,1.247538672841670818e-06,6.068735170103635872e-08
1.000000000000000000e+01,3.246524673583497389e-01,1.186757134489880988e-01,4.485363257308923324e-02,2.850511578642654642e-03,2.383219361471746421e-04,2.651302666617629387e-06,1.299345481816697538e-07
1.100000000000000000e+01,4.578333617716142667e-01,1.928362478905872868e-01,7.374230242662058177e-02,5.192536459899712263e-03,4.380849838424542711e-04,5.342085149256644503e-06,2.637805613023430839e-07
1.200000000000000000e+01,6.065306597126334243e-01,2.971539823754744680e-01,1.151614880213837344e-01,9.000237013128509905e-03,7.668865392098531348e-04,1.024014727358646388e-05,5.096195752267489467e-07
1.300000000000000000e+01,7.548396019890073472e-01,4.349182827086821579e-01,1.711418823688832247e-01,1.487155217487355630e-02,1.281020558136666560e-03,1.872324806578565940e-05,9.395905951522868352e-07
1.400000000000000000e+01,8.824969025845953441e-01,6.056905561000652805e-01,2.425367613929046706e-01,2.347124368623850280e-02,2.046148755448195990e-03,3.272793540830494562e-05,1.657116322981663226e-06
1.500000000000000000e+01,9.692332344763441299e-01,8.043308671703061075e-01,3.285740381673409871e-01,3.545784803328638768e-02,3.132135722225515805e-03,5.480919897662102423e-05,2.801951970790469430e-06
1.600000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,4.267271384909707144e-01,5.139119284199825805e-02,4.605842771465413002e-03,8.813027457955478359e-05,4.552267074658537001e-06
1.700000000000000000e+01,9.692332344763441299e-01,1.000000000000000000e+00,5.323504737580472268e-01,7.129631740434948239e-02,6.523271847730487127e-03,1.363645999919250779e-04,7.122626993938524555e-06
1.800000000000000000e+01,8.824969025845953441e-01,1.000000000000000000e+00,6.344398121915028055e-01,9.200217606395967584e-02,8.919463464707412179e-03,2.031975507554363602e-04,1.075753744328499388e-05
1.900000000000000000e+01,7.548396019890073472e-01,1.000000000000000000e+00,7.286045869040672640e-01,1.134664498482623879e-01,1.177544744716032578e-02,2.894041610603751021e-04,1.571927589205782588e-05
2.000000000000000000e+01,6.065306597126334243e-01,1.000000000000000000e+00,8.116903603414711288e-01,1.356049058983180566e-01,1.505304603428416280e-02,3.957030326087617898e-04,2.225677496877683924e-05
